,inh 5,rif 10,pyra 30,abs,,theta1,theta2,theta3
225,0.146,0.341,0.634,1.145,,0.0292,0.0341,0.021133333
226,0.145,0.345,0.596,1.106,,0.029,0.0345,0.019866667
227,0.144,0.349,0.566,1.079,,0.0288,0.0349,0.018866667
228,0.144,0.353,0.544,1.057,,0.0288,0.0353,0.018133333
229,0.145,0.357,0.527,1.043,,0.029,0.0357,0.017566667
230,0.145,0.36,0.514,1.033,,0.029,0.036,0.017133333
231,0.145,0.363,0.502,1.022,,0.029,0.0363,0.016733333
232,0.146,0.365,0.493,1.016,,0.0292,0.0365,0.016433333
233,0.146,0.367,0.485,1.009,,0.0292,0.0367,0.016166667
234,0.146,0.368,0.478,1.003,,0.0292,0.0368,0.015933333
235,0.146,0.37,0.473,0.999,,0.0292,0.037,0.015766667
236,0.146,0.37,0.469,0.995,,0.0292,0.037,0.015633333
237,0.146,0.37,0.465,0.991,,0.0292,0.037,0.0155
238,0.147,0.369,0.463,0.987,,0.0294,0.0369,0.015433333
239,0.147,0.368,0.463,0.986,,0.0294,0.0368,0.015433333
240,0.147,0.367,0.464,0.988,,0.0294,0.0367,0.015466667
241,0.148,0.365,0.468,0.991,,0.0296,0.0365,0.0156
242,0.148,0.364,0.475,0.997,,0.0296,0.0364,0.015833333
243,0.149,0.362,0.485,1.006,,0.0298,0.0362,0.016166667
244,0.15,0.361,0.499,1.02,,0.03,0.0361,0.016633333
245,0.15,0.359,0.516,1.039,,0.03,0.0359,0.0172
246,0.151,0.359,0.538,1.062,,0.0302,0.0359,0.017933333
247,0.152,0.358,0.562,1.091,,0.0304,0.0358,0.018733333
248,0.154,0.358,0.594,1.125,,0.0308,0.0358,0.0198
249,0.155,0.358,0.631,1.167,,0.031,0.0358,0.021033333
250,0.157,0.359,0.674,1.216,,0.0314,0.0359,0.022466667
251,0.158,0.36,0.721,1.269,,0.0316,0.036,0.024033333
252,0.16,0.361,0.775,1.332,,0.032,0.0361,0.025833333
253,0.161,0.362,0.834,1.396,,0.0322,0.0362,0.0278
254,0.163,0.362,0.9,1.472,,0.0326,0.0362,0.03
255,0.165,0.362,0.964,1.542,,0.033,0.0362,0.032133333
256,0.166,0.362,1.034,1.624,,0.0332,0.0362,0.034466667
257,0.168,0.362,1.11,1.703,,0.0336,0.0362,0.037
258,0.169,0.361,1.189,1.788,,0.0338,0.0361,0.039633333
259,0.17,0.359,1.271,1.874,,0.034,0.0359,0.042366667
260,0.171,0.356,1.357,1.971,,0.0342,0.0356,0.045233333
261,0.172,0.353,1.434,2.058,,0.0344,0.0353,0.0478
262,0.172,0.348,1.501,2.12,,0.0344,0.0348,0.050033333
263,0.172,0.343,1.56,2.179,,0.0344,0.0343,0.052
264,0.172,0.337,1.612,2.208,,0.0344,0.0337,0.053733333
265,0.171,0.331,1.66,2.265,,0.0342,0.0331,0.055333333
266,0.17,0.325,1.705,2.316,,0.034,0.0325,0.056833333
267,0.168,0.318,1.757,2.364,,0.0336,0.0318,0.058566667
268,0.165,0.311,1.779,2.365,,0.033,0.0311,0.0593
269,0.162,0.303,1.785,2.355,,0.0324,0.0303,0.0595
270,0.159,0.296,1.758,2.317,,0.0318,0.0296,0.0586
271,0.154,0.288,1.688,2.24,,0.0308,0.0288,0.056266667
272,0.149,0.279,1.608,2.129,,0.0298,0.0279,0.0536
273,0.144,0.271,1.531,2.06,,0.0288,0.0271,0.051033333
274,0.138,0.263,1.482,1.979,,0.0276,0.0263,0.0494
275,0.132,0.256,1.438,1.922,,0.0264,0.0256,0.047933333
276,0.125,0.248,1.394,1.85,,0.025,0.0248,0.046466667
277,0.118,0.241,1.32,1.77,,0.0236,0.0241,0.044
278,0.11,0.233,1.185,1.614,,0.022,0.0233,0.0395
279,0.103,0.225,1.008,1.404,,0.0206,0.0225,0.0336
280,0.096,0.218,0.816,1.183,,0.0192,0.0218,0.0272
281,0.088,0.21,0.643,0.979,,0.0176,0.021,0.021433333
282,0.08,0.203,0.497,0.809,,0.016,0.0203,0.016566667
283,0.073,0.197,0.387,0.676,,0.0146,0.0197,0.0129
284,0.066,0.192,0.308,0.579,,0.0132,0.0192,0.010266667
285,0.06,0.187,0.245,0.502,,0.012,0.0187,0.008166667
286,0.053,0.182,0.203,0.446,,0.0106,0.0182,0.006766667
287,0.048,0.178,0.172,0.405,,0.0096,0.0178,0.005733333
288,0.043,0.175,0.151,0.374,,0.0086,0.0175,0.005033333
289,0.037,0.172,0.135,0.35,,0.0074,0.0172,0.0045
290,0.033,0.169,0.124,0.333,,0.0066,0.0169,0.004133333
291,0.03,0.167,0.117,0.319,,0.006,0.0167,0.0039
292,0.026,0.166,0.112,0.311,,0.0052,0.0166,0.003733333
293,0.024,0.164,0.11,0.304,,0.0048,0.0164,0.003666667
294,0.021,0.163,0.109,0.3,,0.0042,0.0163,0.003633333
295,0.02,0.162,0.109,0.298,,0.004,0.0162,0.003633333
296,0.018,0.162,0.11,0.297,,0.0036,0.0162,0.003666667
297,0.016,0.162,0.111,0.297,,0.0032,0.0162,0.0037
298,0.015,0.163,0.113,0.299,,0.003,0.0163,0.003766667
299,0.014,0.163,0.115,0.301,,0.0028,0.0163,0.003833333
300,0.012,0.165,0.118,0.303,,0.0024,0.0165,0.003933333
301,0.012,0.166,0.12,0.307,,0.0024,0.0166,0.004
302,0.011,0.168,0.123,0.311,,0.0022,0.0168,0.0041
303,0.01,0.17,0.126,0.315,,0.002,0.017,0.0042
304,0.009,0.172,0.128,0.319,,0.0018,0.0172,0.004266667
305,0.008,0.175,0.129,0.323,,0.0016,0.0175,0.0043
306,0.006,0.177,0.131,0.326,,0.0012,0.0177,0.004366667
307,0.006,0.18,0.133,0.332,,0.0012,0.018,0.004433333
308,0.006,0.185,0.136,0.337,,0.0012,0.0185,0.004533333
309,0.006,0.189,0.136,0.342,,0.0012,0.0189,0.004533333
310,0.005,0.193,0.137,0.346,,0.001,0.0193,0.004566667
311,0.004,0.197,0.137,0.35,,0.0008,0.0197,0.004566667
312,0.004,0.203,0.137,0.354,,0.0008,0.0203,0.004566667
313,0.004,0.208,0.136,0.358,,0.0008,0.0208,0.004533333
314,0.003,0.212,0.134,0.361,,0.0006,0.0212,0.004466667
315,0.003,0.219,0.132,0.364,,0.0006,0.0219,0.0044
316,0.001,0.224,0.128,0.364,,0.0002,0.0224,0.004266667
317,0.001,0.229,0.125,0.366,,0.0002,0.0229,0.004166667
318,0.002,0.236,0.122,0.368,,0.0004,0.0236,0.004066667
319,0.001,0.242,0.118,0.369,,0.0002,0.0242,0.003933333
