,inh 10,rif 15,pyra 50,abs1,,,inh 5,rif 10,pyra 30,abs2,,,,,,theta1,theta2,theta3
225,0.304,0.512,1.018,1.741,,225,0.146,0.341,0.634,1.145,,0.0304,0.034133333,0.02036,,0.0292,0.0341,0.021133333
226,0.302,0.518,0.957,1.688,,226,0.145,0.345,0.596,1.106,,0.0302,0.034533333,0.01914,,0.029,0.0345,0.019866667
227,0.302,0.525,0.909,1.648,,227,0.144,0.349,0.566,1.079,,0.0302,0.035,0.01818,,0.0288,0.0349,0.018866667
228,0.302,0.532,0.874,1.622,,228,0.144,0.353,0.544,1.057,,0.0302,0.035466667,0.01748,,0.0288,0.0353,0.018133333
229,0.303,0.538,0.846,1.596,,229,0.145,0.357,0.527,1.043,,0.0303,0.035866667,0.01692,,0.029,0.0357,0.017566667
230,0.303,0.543,0.826,1.574,,230,0.145,0.36,0.514,1.033,,0.0303,0.0362,0.01652,,0.029,0.036,0.017133333
231,0.304,0.548,0.808,1.558,,231,0.145,0.363,0.502,1.022,,0.0304,0.036533333,0.01616,,0.029,0.0363,0.016733333
232,0.304,0.552,0.793,1.545,,232,0.146,0.365,0.493,1.016,,0.0304,0.0368,0.01586,,0.0292,0.0365,0.016433333
233,0.304,0.556,0.78,1.535,,233,0.146,0.367,0.485,1.009,,0.0304,0.037066667,0.0156,,0.0292,0.0367,0.016166667
234,0.304,0.558,0.771,1.528,,234,0.146,0.368,0.478,1.003,,0.0304,0.0372,0.01542,,0.0292,0.0368,0.015933333
235,0.304,0.56,0.762,1.517,,235,0.146,0.37,0.473,0.999,,0.0304,0.037333333,0.01524,,0.0292,0.037,0.015766667
236,0.305,0.561,0.755,1.513,,236,0.146,0.37,0.469,0.995,,0.0305,0.0374,0.0151,,0.0292,0.037,0.015633333
237,0.305,0.561,0.75,1.503,,237,0.146,0.37,0.465,0.991,,0.0305,0.0374,0.015,,0.0292,0.037,0.0155
238,0.305,0.56,0.747,1.495,,238,0.147,0.369,0.463,0.987,,0.0305,0.037333333,0.01494,,0.0294,0.0369,0.015433333
239,0.305,0.558,0.746,1.488,,239,0.147,0.368,0.463,0.986,,0.0305,0.0372,0.01492,,0.0294,0.0368,0.015433333
240,0.306,0.556,0.749,1.487,,240,0.147,0.367,0.464,0.988,,0.0306,0.037066667,0.01498,,0.0294,0.0367,0.015466667
241,0.307,0.554,0.756,1.491,,241,0.148,0.365,0.468,0.991,,0.0307,0.036933333,0.01512,,0.0296,0.0365,0.0156
242,0.307,0.551,0.766,1.499,,242,0.148,0.364,0.475,0.997,,0.0307,0.036733333,0.01532,,0.0296,0.0364,0.015833333
243,0.309,0.548,0.783,1.515,,243,0.149,0.362,0.485,1.006,,0.0309,0.036533333,0.01566,,0.0298,0.0362,0.016166667
244,0.31,0.545,0.805,1.532,,244,0.15,0.361,0.499,1.02,,0.031,0.036333333,0.0161,,0.03,0.0361,0.016633333
245,0.312,0.543,0.833,1.558,,245,0.15,0.359,0.516,1.039,,0.0312,0.0362,0.01666,,0.03,0.0359,0.0172
246,0.314,0.541,0.868,1.593,,246,0.151,0.359,0.538,1.062,,0.0314,0.036066667,0.01736,,0.0302,0.0359,0.017933333
247,0.316,0.54,0.909,1.632,,247,0.152,0.358,0.562,1.091,,0.0316,0.036,0.01818,,0.0304,0.0358,0.018733333
248,0.318,0.54,0.96,1.686,,248,0.154,0.358,0.594,1.125,,0.0318,0.036,0.0192,,0.0308,0.0358,0.0198
249,0.321,0.539,1.019,1.741,,249,0.155,0.358,0.631,1.167,,0.0321,0.035933333,0.02038,,0.031,0.0358,0.021033333
250,0.324,0.539,1.088,1.805,,250,0.157,0.359,0.674,1.216,,0.0324,0.035933333,0.02176,,0.0314,0.0359,0.022466667
251,0.327,0.539,1.164,1.887,,251,0.158,0.36,0.721,1.269,,0.0327,0.035933333,0.02328,,0.0316,0.036,0.024033333
252,0.33,0.539,1.252,1.978,,252,0.16,0.361,0.775,1.332,,0.033,0.035933333,0.02504,,0.032,0.0361,0.025833333
253,0.333,0.539,1.346,2.064,,253,0.161,0.362,0.834,1.396,,0.0333,0.035933333,0.02692,,0.0322,0.0362,0.0278
254,0.337,0.539,1.454,2.166,,254,0.163,0.362,0.9,1.472,,0.0337,0.035933333,0.02908,,0.0326,0.0362,0.03
255,0.34,0.538,1.56,2.28,,255,0.165,0.362,0.964,1.542,,0.034,0.035866667,0.0312,,0.033,0.0362,0.032133333
256,0.343,0.536,1.675,2.362,,256,0.166,0.362,1.034,1.624,,0.0343,0.035733333,0.0335,,0.0332,0.0362,0.034466667
257,0.346,0.534,1.793,2.474,,257,0.168,0.362,1.11,1.703,,0.0346,0.0356,0.03586,,0.0336,0.0362,0.037
258,0.349,0.531,1.912,2.606,,258,0.169,0.361,1.189,1.788,,0.0349,0.0354,0.03824,,0.0338,0.0361,0.039633333
259,0.351,0.527,2.049,2.697,,259,0.17,0.359,1.271,1.874,,0.0351,0.035133333,0.04098,,0.034,0.0359,0.042366667
260,0.353,0.521,2.169,2.835,,260,0.171,0.356,1.357,1.971,,0.0353,0.034733333,0.04338,,0.0342,0.0356,0.045233333
261,0.354,0.514,2.291,2.986,,261,0.172,0.353,1.434,2.058,,0.0354,0.034266667,0.04582,,0.0344,0.0353,0.0478
262,0.354,0.506,2.372,3.021,,262,0.172,0.348,1.501,2.12,,0.0354,0.033733333,0.04744,,0.0344,0.0348,0.050033333
263,0.354,0.497,2.444,3.319,,263,0.172,0.343,1.56,2.179,,0.0354,0.033133333,0.04888,,0.0344,0.0343,0.052
264,0.354,0.487,2.528,3.212,,264,0.172,0.337,1.612,2.208,,0.0354,0.032466667,0.05056,,0.0344,0.0337,0.053733333
265,0.353,0.477,2.618,3.382,,265,0.171,0.331,1.66,2.265,,0.0353,0.0318,0.05236,,0.0342,0.0331,0.055333333
266,0.349,0.466,2.619,3.498,,266,0.17,0.325,1.705,2.316,,0.0349,0.031066667,0.05238,,0.034,0.0325,0.056833333
267,0.345,0.455,2.715,3.309,,267,0.168,0.318,1.757,2.364,,0.0345,0.030333333,0.0543,,0.0336,0.0318,0.058566667
